WorklistNumber,Title,CreationDateMonth,Medium2,Dim_cm_H,Dim_cm_W,Dim_in_H,Dim_in_W,ReservedForCollector
"2.2020.006","Covid #1","April 2020","oil, graphite / Arches Huile paper","76.5","57.6","30.1","22.7","CLC"
"2.2020.007","Covid #2","April 2020","oil, graphite / Arches Huile paper","76.3","57.5","30.1","22.6",""
"2.2020.008","Covid #3","April 2020","oil, graphite / Arches Huile paper","76.3","57.5","30.0","22.6",""
"2.2020.009","Covid #4","April 2020","oil, graphite / Arches Huile paper","76.5","57.6","30.1","22.7",""
"2.2020.010","Covid #5","April 2020","oil, graphite / Arches Huile paper","76.4","57.5","30.1","22.6",""
"2.2020.011","Covid #6","April 2020","oil, graphite / Arches Huile paper","76.5","57.8","30.1","22.8",""
"2.2020.012","Covid #7","April 2020","oil, charcoal / Arches Huile paper","76.4","57.7","30.1","22.7",""
"2.2020.013","Covid #8","April 2020","oil, graphite / Arches Huile paper","76.5","57.7","30.1","22.7",""
"2.2020.014","Covid #9","April 2020","oil, graphite / Arches Huile paper","76.4","57.9","30.1","22.8",""
"2.2020.015","Covid #10","April 2020","oil, charcoal / Arches Huile paper","76.2","57.5","30.0","22.6",""
"2.2020.016","Covid #11","April 2020","oil, charcoal / Arches Huile paper","130.6","92.2","51.4","36.3",""
"2.2020.017","Covid #12","April 2020","oil, charcoal / Arches Huile paper","130.7","92.2","51.5","36.3",""
"2.2020.018","Covid #13","April 2020","oil, graphite / Arches Huile paper","130.4","92.2","51.3","36.3",""
"2.2020.019","Covid #14","April 2020","oil, charcoal, graphite / Arches Huile paper","130.6","92.3","51.4","36.3",""
"2.2020.020","Covid #15","April 2020","oil, graphite / Arches Huile paper","76.1","57.4","30.0","22.6",""
"2.2020.021","Covid #16","April 2020","oil, graphite / Arches Huile paper","76.0","56.8","29.9","22.4",""
"2.2020.022","Covid #17","April 2020","oil, graphite / Arches Huile paper","76.2","57.0","30.0","22.4",""
"2.2020.023","Covid #18","April 2020","oil, graphite / Arches Huile paper","76.1","57.0","30.0","22.4",""
"2.2020.024","Covid #19","April 2020","oil, graphite / Arches Huile paper","130.8","92.1","51.5","36.3",""
"2.2020.025","Covid #20","April 2020","oil, graphite / Arches Huile paper","130.8","92.0","51.5","36.2",""
"2.2020.026","Covid #21","April 2020","oil, graphite / Arches Huile paper","130.7","92.4","51.5","36.4",""
"2.2020.027","Covid #22","April 2020","oil, charcoal / Arches Huile paper","130.7","92.1","51.5","36.3",""
"2.2020.028","Covid #23","May 2020","oil, charcoal / Arches Huile paper","130.6","92.2","51.4","36.3",""
"2.2020.029","Covid #24","May 2020","oil, charcoal / Arches Huile paper","130.6","92.4","51.4","36.4",""
"2.2020.030","Covid #25","May 2020","oil, graphite / Arches Huile paper","130.7","92.1","51.5","36.3",""
"2.2020.031","Covid #26","May 2020","oil, charcoal / Arches Huile paper","130.7","92.2","51.5","36.3",""
"2.2020.033","Covid #27","May 2020","oil, graphite / Arches Huile paper","130.9","92.0","51.5","36.2",""
"2.2020.034","Covid #28","May 2020","oil, graphite / Arches Huile paper","76.3","57.3","30.0","22.6",""
"2.2020.035","Covid #29","May 2020","oil, graphite / Arches Huile paper","130.8","92.3","51.5","36.3",""
"2.2020.036","Covid #30","May 2020","oil, graphite / Arches Huile paper","130.8","92.3","51.5","36.3",""
"2.2020.037","Covid #31","May 2020","oil, charcoal / Arches Huile paper","131.0","92.3","51.6","36.3",""
"2.2020.038","Covid #32","May 2020","oil, graphite / Arches Huile paper","130.7","92.3","51.5","36.3",""
"2.2020.039","Covid #33","May 2020","oil, graphite / Arches Huile paper","130.9","92.4","51.5","36.4",""
"2.2020.040","Covid #34","May 2020","oil, charcoal / Arches Huile paper","130.8","92.2","51.5","36.3",""
"2.2020.041","Covid #35","May 2020","oil, charcoal / Arches Huile paper","131.2","92.4","51.7","36.3",""
"2.2020.042","Covid #36","May 2020","oil, graphite / Arches Huile paper","130.7","92.2","51.5","36.3",""
"2.2020.043","Covid #37","May 2020","oil, graphite / Arches Huile paper","130.7","92.5","51.5","36.4",""
"2.2020.044","Covid #38","May 2020","oil, charcoal, graphite / Arches Huile paper","130.7","92.0","51.5","36.2",""
"2.2020.045","Covid #39","June 2020","oil, graphite / Arches Huile paper","132.4","92.1","52.1","36.3",""
"2.2020.046","Covid #40","June 2020","oil, charcoal / Arches Huile paper","132.5","92.5","52.2","36.4",""
"2.2020.047","Covid #41","June 2020","oil / Arches Huile paper","132.3","92.4","52.1","36.4",""
"2.2020.048","Covid #42","June 2020","oil, charcoal / Arches Huile paper ?","132.5","92.3","52.2","36.3",""
"2.2020.049","Covid #43","July 2020","oil, graphite / Arches Huile paper","132.4","92.2","52.1","36.3",""
"2.2020.050","Covid #44","July 2020","oil, charcoal / Arches Huile paper","132.5","92.3","52.2","36.3",""
"2.2020.051","Covid #45","July 2020","oil / Arches Huile paper","132.4","92.1","52.1","36.3",""
"2.2020.052","Covid #46","July 2020","oil, charcoal / Arches Huile paper","132.3","92.3","52.1","36.3",""
"2.2020.054","Covid #47","August 2020","oil, charcoal / Arches Huile paper","130.4","92.3","51.3","36.3",""
"2.2020.057","Covid #48","October 2020","oil, charcoal, black walnut ink / Arches Huile paper","132.1","92.1","52.0","36.3",""
"2.2021.002","Covid #49","February 2021","oil, graphite, charcoal / Arches Huile paper","130.1","93.1","51.2","36.7",""
"2.2021.003","Covid #50","April 2021","oil, graphite, charcoal / Arches Huile paper","131.8","92.0","51.9","36.2",""
